-3.1206e-12,-9.79602e-11,-6.09349e-11,-2.85724e-10,-2.32603e-11,
-1.52545e-10,-4.42234e-09,-7.14362e-10,-1.38182e-08,-1.24882e-09,
-1.34522e-09,-3.03527e-08,3.33892e-08,-1.21455e-07,-1.18491e-08,
8.82795e-08,2.50036e-06,1.13438e-06,7.47155e-06,8.61629e-07,
2.74032e-06,6.95916e-05,1.52196e-05,0.000223729,2.86653e-05,
3.63262e-05,0.000848513,0.000118443,0.0028239,0.000405946,
0.000288906,0.00621786,0.000616757,0.0211557,0.00343357,
0.00157488,0.0311184,0.00232373,0.107433,0.0198209,
0.00634522,0.114389,0.00665658,0.398439,0.0842267,
0.019863,0.324097,0.0150437,1.13319,0.277006,
0.050189,0.734175,0.0276723,2.56373,0.732572,
0.105706,1.37104,0.0425729,4.75561,1.6089,
0.190867,2.16732,0.0560538,7.42118,3.01819,
0.302809,2.96772,0.0643555,9.95676,4.95626,
0.431233,3.59231,0.0655112,11.6972,7.27798,
0.561947,3.91688,0.0599118,12.2226,9.74128,
0.681539,3.91736,0.0498984,11.5137,12.0867,
0.781211,3.66012,0.038194,9.89134,14.1179,
0.857572,3.25723,0.0271304,7.82853,15.7326,
0.911867,2.81815,0.0180297,5.75846,16.9225,
0.947987,2.42017,0.0112864,3.96683,17.7418,
0.970623,2.10158,0.00669496,2.57636,18.2726,
0.984064,1.86956,0.00378377,1.5871,18.5982,
0.991669,1.71304,0.00204767,0.932352,18.7882,
0.995789,1.614,0.00106598,0.524836,18.8943,
0.997936,1.55465,0.000536007,0.284287,18.9513,
0.999016,1.52074,0.000261246,0.148699,18.9808,
0.999543,1.50214,0.000123768,0.0753164,18.9956,
0.999793,1.4923,5.71145e-05,0.0370157,19.0028,
0.999909,1.48728,2.57064e-05,0.0176748,19.0062,
0.999961,1.48478,1.12914e-05,0.0082039,19.0078,
