Year,lamdaOne,Option_Price,Probability,Expected_Tau
3,0.05,3425.21,0.759,1.18147
3,0.1,3425.21,0.764,1.15132
3,0.15,3432.96,0.769,1.0876
3,0.2,3440.71,0.771,1.04187
3,0.25,3448.04,0.782,1.02146
3,0.3,3455.6,0.799,1.01149
3,0.35,3486.41,0.801,0.99143
3,0.4,4290.05,0.812,0.98145
3,0.45,4410.28,0.815,0.97141

4,0.05,3476.06,0.871,1.45811
4,0.1,3476.06,0.874,1.41451
4,0.15,3491.6,0.878,1.38091
4,0.2,3491.6,0.882,1.35084
4,0.25,3499.15,0.886,1.32761
4,0.3,3506.34,0.890,1.29081
4,0.35,3513.48,0.894,1.26543
4,0.4,5071.49,0.901,1.23456
4,0.45,5423.43,0.907,1.21087
5,0.05,3637.34,0.938,1.70681
5,0.1,3652.92,0.939,1.67683
5,0.15,3652.92,0.941,1.64684
5,0.2,3660.46,0.943,1.61687
5,0.25,3660.46,0.948,1.58686
5,0.3,3676.06,0.953,1.55615
5,0.35,3712.82,0.955,1.52685
5,0.4,5676.53,0.961,1.48076
5,0.45,6398.5,0.965,1.45891
6,0.05,3679.38,0.969,1.87935
6,0.1,3695,0.975,1.84934
6,0.15,3702.53,0.978,1.81637
6,0.2,3702.53,0.982,1.79018
6,0.25,3718.17,0.984,1.76543
6,0.3,3732.4,0.985,1.75091
6,0.35,3754.86,0.989,1.7378
6,0.4,6169.24,0.991,1.69012
6,0.45,7175.98,0.993,1.66013
7,0.05,3968.2,0.988,2.04345
7,0.1,3983.85,0.988,1.98075
7,0.15,3991.37,0.988,1.96081
7,0.2,3991.37,0.988,1.93047
7,0.25,4007.05,0.988,1.91023
7,0.3,4022.45,0.988,1.87479
7,0.35,4074.32,0.988,1.84076
7,0.4,6652.3,0.988,1.81098
7,0.45,7868.18,0.988,1.7811
8,0.05,4165.81,0.995,2.12396
8,0.1,4181.49,0.995,1.98453
8,0.15,4189.01,0.995,1.96501
8,0.2,4196.43,0.995,1.93076
8,0.25,4203.49,0.995,1.90345
8,0.3,4203.49,0.995,1.87054
8,0.35,4233.39,0.995,1.82045
8,0.4,6980.08,0.995,1.81954
8,0.45,8439.07,0.995,1.79031
